게임명,8월 MAU(만)
원신,51.6
붕괴: 스타레일,41.9
승리의 여신: 니케,31.8
젠레스 존 제로,30.5
블루 아카이브,30.4
프로젝트 세카이 컬러풀 스테이지! Feat. 하츠네 미쿠,26.2
명조: 워더링 웨이브,25.3
나 혼자만 레벨업: 어라이즈,22.1
명일방주,19.1
앙상블 스타즈!!,17
카운터사이드,5.7
프린세스 커넥트! Re:Dive,5.3
신의 탑: 새로운 세계,5.3
러브앤 딥스페이스,5.3
벽람항로,3.8
에버소울,3.2
붕괴 3rd,3.1
뉴럴 클라우드,2.8
무기미도,2.8
아우터플레인,2.7
페르소나5 더 팬텀 X,2.5
스타시드 아스니아 트리거,2.4
소녀전선,2.4
캣 판타지,2.1
헤븐 번즈 레드,2.1
창세기전 모바일,2
백야극광,2
랑그릿사,1.9
에코칼립스: 진홍의 서막,1.8
어나더에덴 시공을 넘는 고양이,1.5
퍼니싱 그레이 레이븐,1.4
스노우 브레이크 : 포비든 존,1.2
브라운더스트,1
소녀전쟁,1
메멘토 모리,1
라스트 워,39.9
버섯커 키우기,19.5
세븐나이츠 키우기,10.4
그랑사가 키우기,8.3
쿠키런: 킹덤,51.3
쿠키런: 모험의 탑,41
AFK: 새로운 여정,61.6
운빨존많겜,96.3
던전앤파이터 모바일,7.6
달토끼 키우기,3.8
리니지 M,25.6
오딘: 발할라 라이징,10.8
로드나인,17.2
별이 되어라2,1.5
