순위,게임명,제작사,가격,인앱구매,평가수,평점,장르,장르2
1,라스트 워: 서바이벌,First Fun,무료,인앱 구매,532651,4.72,전략,생존
2,리니지M,NCSOFT,무료,인앱 구매,90120,2.77,MMORPG,
3,WOS: 화이트아웃 서바이벌,Century Games,무료,인앱 구매,783838,4.68,생존,전략
4,로얄 매치,Dream Games Ltd.,무료,인앱 구매,6906198,4.59,퍼즐,
5,Roblox,Roblox Corporation,무료,인앱 구매,40338124,4.35,샌드박스,어드벤처
6,AFK: 새로운 여정,FARLIGHT,무료,인앱 구매,220870,4.68,전략,방치형 RPG
7,오딘: 발할라 라이징,kakao Games Corp.,무료,인앱 구매,190700,4.43,MMORPG,
8,원신,COGNOSPHERE PTE. LTD.,무료,인앱 구매,4762787,3.68,액션 RPG,오픈월드
9,리니지2M,NCSOFT,무료,인앱 구매,86578,3.42,MMORPG,
10,운빨존많겜,111%,무료,인앱 구매,112953,4.39,캐주얼,운빨 게임
11,FC 모바일,NEXON Company,무료,인앱 구매,139778,3.12,스포츠,축구
12,리니지W,NCSOFT,무료,인앱 구매,68988,3.33,MMORPG,
13,브롤스타즈,Supercell,무료,인앱 구매,24094378,4.27,액션,슈팅
14,로드나인,Smilegate Holdings Inc,무료,인앱 구매,19214,4.01,전략,RPG
15,THE 라그나로크,GRAVITY Co. Ltd.,무료,인앱 구매,633,1.96,MMORPG,
16,뮤 모나크2,Webzen Inc.,무료,인앱 구매,2346,4.04,MMORPG,
17,고! 고! 머핀!,X.D. Global,무료,인앱 구매,9203,4.75,캐주얼,퍼즐
18,감자슉슈슉,Joy Nice Games,무료,인앱 구매,26895,4.77,캐주얼,퍼즐
19,붕괴: 스타레일,COGNOSPHERE PTE. LTD.,무료,인앱 구매,402592,4.14,턴제 RPG,
20,승리의 여신: 니케,Level Infinite,무료,인앱 구매,505614,4.64,액션 RPG,
21,아키에이지 워,kakao Games Corp.,무료,인앱 구매,39090,4.37,MMORPG,
22,버섯커 키우기,Joy Nice Games,무료,인앱 구매,99309,4.86,방치형 RPG,캐주얼
23,에픽세븐,Smilegate Holdings Inc,무료,인앱 구매,489750,4.28,턴제 RPG,
24,꿈의 정원,Playrix,무료,인앱 구매,12779432,4.66,퍼즐,
25,한게임 포커,NHN Corp.,무료,인앱 구매,87833,4.32,카드 게임,
