순위,게임명,제작사,가격,인앱구매,평가수,평점,장르,장르2
1,라스트 워: 서바이벌,FirstFun,무료,인앱 구매,12421,4.63,서바이벌,
2,리니지M,NCSOFT,무료,인앱 구매,4041,1.91,MMORPG,
3,WOS: 화이트아웃 서바이벌,,무료,인앱 구매,37693,4.78,서바이벌,
4,로얄 매치,Dream Games,무료,인앱 구매,99653,4.77,퍼즐,
5,AFK: 새로운 여정,Farlight Games,무료,인앱 구매,16632,4.89,RPG,
6,운빨존많겜,111%,무료,인앱 구매,40077,4.45,아케이드,
7,EA SPORTS FC Online M,NEXON Company,무료,인앱 구매,36114,2.3,스포츠,
8,FC 모바일,NEXON Company,무료,인앱 구매,200024,4.48,스포츠,
9,브롤스타즈,Supercell,무료,인앱 구매,429291,4.52,액션,
10,Gardenscapes,Playrix,무료,인앱 구매,114969,4.67,퍼즐,
11,컴투스프로야구V24,Com2uS Corp.,무료,인앱 구매,17860,4.57,스포츠,
12,고! 고! 머핀!,X.D Global,무료,인앱 구매,2097,4.88,아케이드,
13,씨사이드 익스케이프:합성 & 스토리 게임,MicroFun Limited,무료,인앱 구매,3768,4.49,퍼즐,
14,로드나인,Smailgate Holdings Inc.,무료,인앱 구매,3965,4.09,액션,
15,THE 라그나로크,GRAVITY Co. Ltd.,무료,인앱 구매,205,2.22,MMORPG,
16,오딘:발할라 라이징,kakao Games Corp.,무료,인앱 구매,42706,4.45,RPG,
17,eFootball,KONAMI,무료,인앱 구매,44369,3.81,스포츠,
18,한게임 섯다&맞고,NHN Corp.,무료,인앱 구매,26423,4.4,카드,
19,배틀그라운드,KRAFTON Inc,무료,인앱 구매,169519,3.76,배틀 로얄,
20,Homescapes,Playrix,무료,인앱 구매,164788,4.59,퍼즐,
21,Age of Origins Defense,Hong kong ke mo software Co. Limited,무료,인앱 구매,9084,4.32,타워 디펜스,
22,로한2,PLAYWITH Inc,무료,인앱 구매,0,0,MMORPG,
23,붕괴: 스타레일,COGNOSPHERE PTE LTD.,무료,인앱 구매,5701,3.93,RPG,
24,감자슉슈슉,Joy Net Games,무료,인앱 구매,2499,4.76,아케이드,
25,탕탕특공대,HABBY,무료,인앱 구매,29338,4.33,액션,
