순위,게임명,제작사,가격,인앱구매,평가수,평점,장르,장르2
1,용호상박,KingkongSOFT,무료,인앱 구매,949,4.4,액션,
2,만족룸: 완벽한 정리,FALCON GAME STUDIO,무료,인앱 구매,78862,4.35,퍼즐,
3,애니팡 머지,Wemade Play Co.Ltd.,무료,인앱 구매,4197,4.64,퍼즐,
4,블록게임,Moca,무료,없음,6,5,퍼즐,
5,70억 좀비 - 서바이벌,SUPER CANDY,무료,인앱 구매,507,4.24,서바이벌, 액션
6,고스톱M : 데이터 필요없는 맞고 게임,Noriworks,무료,없음,2372,4.31,카드 게임,
7,나만없어 드래곤,GAME REPUBLIC KOR,무료,인앱 구매,849,4.39,RPG,
8,감자슉슈슉,Joy Nice Games,무료,인앱 구매,26457,4.77,캐주얼,
9,스도쿠,Moca,무료,없음,50,3.64,퍼즐,
10,운빨존많겜,111%,무료,인앱 구매,1112752,4.38,캐주얼,
11,블록 블라스트,Hungry Studio,무료,없음,384033,3.89,퍼즐,
12,로얄 매치,Dream Games Ltd.,무료,인앱 구매,6899837,4.73,퍼즐, 매치3
13,블레이드M,HONGKONG JIUJIUWAN NETWORK TECHNOLOGY CO. LIMITED,무료,인앱 구매,580,4.49,액션 RPG,
14,질풍삼국,G-CONG NETWORK,무료,인앱 구매,2549,4.8,전략 RPG,
15,편의점 정리왕: 매치마스터,ACTIONFIT,무료,인앱 구매,3280,4.22,퍼즐,
16,WOS:화이트아웃 서바이벌,Century Games PTE. LTD.,무료,인앱 구매,782435,3.73,서바이벌, 전략
17,라스트 워: 서바이벌,First Fun,무료,인앱 구매,529860,4.79,서바이벌, 액션
18,국민 고스톱: 고스톱 맞고 화투 게임,Noriworks,무료,없음,803,4.06,카드 게임,
19,Vita Mahjong,Vita Studio,무료,인앱 구매,619266,4.89,마작,
20,주공을 지켜라,Glaciers Game,무료,인앱 구매,3311,4.57,전략, 방어
21,히어로 클래시: 연결 대작전,Glaciers Game,무료,인앱 구매,9833,4.25,퍼즐,
22,고! 고! 머핀! x 몰티즈 콜라보!,X.D. Gobal,무료,인앱 구매,8990,4.76,캐주얼,
23,Car Jam,Wing Soft,무료,인앱 구매,1990,4.5,퍼즐,
24,메틴: 파멸의 서곡,Sesisoft,무료,없음,0,0,MMORPG,
25,AFK: 새로운 여정,FARLIGHT,무료,인앱 구매,220452,4.68,RPG, 전략
