순위,게임명,제작사,가격,인앱구매,평가수,평점,장르,장르2
1,용호상박,NEWLEAP SOFT,무료,인앱 구매,97,4.79,전략,
2,판타지타운,Arumgames,무료,인앱 구매,10120,4.71,시뮬레이션,
3,조선 이변,YUANLONG NEWTWORK LIMITED,무료,인앱 구매,5617,4.01,퍼즐,
4,픽셀 히어로,Ujoy Games Limited,무료,인앱 구매,23881,4.59,롤플레잉,
5,짤툰 골목식당 키우기,Buff Studio Co.Ltd.,무료,인앱 구매,7395,4.8,전략,
6,용의알: 신들의 전쟁,Handy Communications Co. Ltd,무료,인앱 구매,15,4.47,전략,
7,매직 팡팡 힐링 톡톡,HONG KONG I FUN TECHNOLOGY NETWORK CO. LIMITED,무료,인앱 구매,760,4.65,퍼즐,
8,블레이드M,志煜 ?,무료,인앱 구매,248,4.6,롤플레잉,
9,로한2,PLAYWITH Inc,무료,인앱 구매,0,0,롤플레잉,
10,감자슉슈슉,Joy Net Games,무료,인앱 구매,2499,4.76,아케이드,
11,이브의 쇼핑몰: 스타일링 패션 코디 게임,12MOMENTs,무료,인앱 구매,197,4.57,시뮬레이션,
12,블록 블라스트,Hungry Studio,무료,,15269,4.7,퍼즐,
13,짐승친구들 키우기,BigpictureTeam,무료,인앱 구매,655,4.77,시뮬레이션,
14,운빨존많겜,111%,무료,인앱 구매,40077,4.45,전략,
15,블러드에이지,QCPLAY GAMES LIMITED,무료,인앱 구매,12,3.42,롤플레잉,
16,다크아테나,Efun Mobile Company Limited,무료,인앱 구매,284,4.26,롤플레잉,
17,WOS: 화이트아웃 서바이벌,Century Games Pte. Ltd.,무료,인앱 구매,37693,4.78,전략,
18,고양이 스낵바: 힐링 시뮬레이션 게임,treeplla Inc.,무료,인앱 구매,15924,4.75,시뮬레이션,
19,모뉴먼트 밸리 NETFLIX,Netflix Inc.,무료,인앱 구매,252,4.89,퍼즐,
20,AFK: 새로운 여정,Farlight Games,무료,인앱 구매,16632,4.89,롤플레잉,
21,브롤스타즈,Supercell,무료,인앱 구매,429291,4.52,액션,
22,배틀그라운드,KRAFTON Inc,무료,인앱 구매,169519,3.76,액션,
23,로얄 매치,Dream Games,무료,인앱 구매,99653,4.77,퍼즐,
24,라스트 워: 서바이벌,FirstFun,무료,인앱 구매,12421,4.63,전략,
25,데이터 필요없는 게임 - 와이파이 필요없는 게임,Moreno Maio,무료,인앱 구매,1502,4.87,아케이드,
