순위,게임명,제작사,가격,인앱구매,평가수,평점,장르,장르2
1,Minecraft,Mojang,11000,인앱 구매,5100222,4.27,샌드박스, 어드벤처
2,스타듀 밸리,ConcernedApe,5900,,169898,4.64,시뮬레이션, 농업 RPG
3,A Dance Of Fire and Ice,7th Beat Games,2200,인앱 구매,29193,4.77,리듬 게임,
4,Geometry Dash,RobTop Games,3900,인앱 구매,988646,4.76,리듬, 플랫폼
5,수박게임,Aladdin X Inc.,2500,,1029,5,캐주얼, 퍼즐
6,도라에몽의 팥빵 가게 스토리,Kairosoft,22000,,82,4.99,시뮬레이션,
7,이터널 사가,GXG Studio,2900,,33,4.18,RPG,
8,미니 메트로,Dinosaur Polo Club,1500,,69311,4.6,전략, 퍼즐
9,Terraria,505 Games Srl,6500,,388262,4.59,샌드박스, 어드벤처
10,레이튼 교수와 이상한 마을 HD,LEVEL-5 Inc.,12000,,1177,4.05,퍼즐 어드벤처,
11,Incredibox,So Far So Good,5900,,47327,4.83,리듬, 음악
12,Kingdom Rush 5: Alliance TD,Ironhide Games,6811,인앱 구매,16511,4.86,타워 디펜스, 전략
13,Skul: The Hero Slayer,Playdigious,9900,,1645,3.92,로그라이크, 액션
14,모던 에이지2 프리미엄,Oxiwyle,3599,인앱 구매,3192,4.44,전략, 시뮬레이션
15,Kingdom Rush Origins - 타워 디펜스,Ironhide Games,2653,인앱 구매,159731,4.79,타워 디펜스, 전략
16,Human Fall Flat,505 Games Srl,7900,,27848,4.33,퍼즐, 물리기반
17,Legend of Keepers,Playdigious,8500,인앱 구매,4821,4.82,던전 관리, 전략
18,Slay the Spire,Humble Games,12000,,23088,4.27,카드, 로그라이크
19,Kingdom Rush Frontiers TD,Ironhide Games,3000,인앱 구매,188839,4.78,타워 디펜스, 전략
20,역전재판 123 나루호도 셀렉션,CAPCOM CO. LTD.,16500,,548,4.32,어드벤처, 추리
21,RFS - Real Flight Simulator,RORTOS,1300,인앱 구매,176280,4.28,시뮬레이션, 비행
22,Pocket Rogues: Ultimate,EtherGaming,3800,인앱 구매,14448,4.6,로그라이크, 액션
23,레이튼 교수와 악마의 상자 모바일 HD 리마스터,LEVEL-5 Inc.,12000,,720,4.34,퍼즐 어드벤처,
24,Bounty of One: Premium,Erabit Studios,6900,,370,4.8,로그라이크, 액션
25,던전 스쿼드,GameCoaster,6500,인앱 구매,21062,4.63,로그라이크, 전략
