순위,게임명,제작사,가격,인앱구매,평가수,평점,장르,장르2
1,Minecraft,Mojang,9900,인앱 구매,28145,3.53,샌드박스,
2,도라에몽의 팥빵 가게 스토리,Kairosoft Co. Ltd,22000,,0,0,시뮬레이션,
3,スイカゲ?ム-Aladdin X,XGIMI LIMITED,2500,,53,4.25,퍼즐,
4,Stardew Valley,ConcernedApe,6600,,24258,4.75,시뮬레이션,RPG
5,A Dance of Fire and Ice,7th Beat Games S.A.C.,3300,인앱 구매,24584,4.78,리듬 게임,
6,Pou,Zakeh Limited,3300,인앱 구매,433,3.15,가상 펫,
7,Rovio Classics: Angry Birds,Rovio Entertainment Oyj,1100,,1531,4.74,캐주얼/퍼즐,퍼즐
8,Plague Inc. (전염병 주식회사),Ndemic Creations,1100,인앱 구매,22851,4.83,전략,시뮬레이션
9,Geometry Dash,RobTop Games AB,4400,,3212,3.65,리듬 게임,
10,던전 공주 3,MYEONG HWAN OH,500,인앱 구매,247,4.87,롤플레잉,
11,레이튼 교수와 이상한 마을 HD,Level-5 Inc.,11000,,482,4.3,어드벤처,퍼즐
12,Kingdom Rush 5 TD,Ironhide S.A.,9900,인앱 구매,794,4.88,타워 디펜스,
13,삼국지 천하포무-단기전략군기,SLGames,500,인앱 구매,2136,4.53,전략,
14,Human Fall Flat,505 Games (US) Inc.,4400,,333,2.71,퍼즐,플랫폼
15,MiniGames-워치 게임 아케이드,AlhoGames,500,,59,4.69,아케이드,
16,헤이안 스토리,Kairosoft Co.Ltd,9900,,106,4.77,시뮬레이션,
17,레이튼 교수와 악마의 상자 모바일 HD 리마스터,Level-5 Inc.,11000,,348,4.46,어드벤처,퍼즐
18,Terraria,505 Games (US) Inc.,6600,,823,3.56,샌드박스,RPG
19,서울 2033:후원자,banjihagames Co.Ltd,4400,인앱 구매,521,4.2,어드벤처,
20,던전 추적자,sang wook jang,1100,,66,4.67,롤플레잉,
21,OOTP Baseball Go 25,Out of the Park Developments,10500,인앱 구매,27,3.15,스포츠 시뮬레이션,
22,역전재판 123 나루호도 셀렉션,CAPCOM,16500,,70,4.29,어드벤처,
23,섬도시 스토리,Kairosoft Co. Ltd,8800,,1067,4.9,시뮬레이션,
24,Arcadia-Watch Games,Raffaele D'Amato,3300,,153,4.86,아케이드,
25,Skul: The Hero Slayer,Playdigious,11000,,737,4.44,액션,RPG
