게임명,장르,TGA 수상 여부,판매량,출시 연도,프랜차이즈
Far Cry 3,1인칭 슈팅 게임,No,10000000,2012,Far Cry
Dark Souls 3,액션 RPG,No,10000000,2016,Dark Souls
Ghost Recon Wildlands,전술 슈팅 게임,No,10000000,2017,Tom Clancy's Ghost Recon
Assassin's Creed Unity,액션 어드벤처,No,10000000,2014,Assassin's Creed
Far Cry 4,1인칭 슈팅 게임,No,10000000,2014,Far Cry
Rainbow Six Siege,전술 슈팅 게임,No,10000000,2015,Rainbow Six
Watch Dogs 2,액션 어드벤처,No,10000000,2016,Watch Dogs
Assassin's Creed Origins,액션 RPG,No,10000000,2017,Assassin's Creed
Assassin's Creed Odyssey,액션 RPG,No,10000000,2018,Assassin's Creed
The Division 2,3인칭 슈팅 게임,No,10000000,2019,Tom Clancy's The Division
Super Mario Collection,플랫폼 게임,No,10550000,2009,Mario
Final Fantasy XV,액션 RPG,No,10903000,2016,Final Fantasy
Super Mario 64 DS,플랫폼 게임,No,11060000,2004,Mario
Super Mario Land 2,플랫폼 게임,No,11180000,1994,Mario
Animal Crossing: Wild World,시뮬레이션,No,11750000,2005,Animal Crossing
Super Mario 64,플랫폼 게임,No,11910000,1996,Mario
Splatoon 3,3인칭 슈팅 게임,No,11960000,2022,Splatoon
Pokemon FireRed & LeafGreen,RPG,No,12000000,2004,Pokémon
Palworld,RPG,No,12000000,2023,Palworld
Pokemon HeartGold & SoulSilver,RPG,No,12720000,2009,Pokémon
Super Mario Galaxy Adventure,플랫폼 게임,No,12800000,2010,Mario
Mario Party Superstars,파티 게임,No,12890000,2021,Mario Party
The Legend of Zelda: Ocarina of Time / 3D,액션 어드벤처,Yes,13040000,2011,Zelda
Nintendo Switch Sports,스포츠 게임,No,13110000,2022,Nintendo
Final Fantasy VII,RPG,Yes,13258000,1997,Final Fantasy
Super Mario Bros Wonder,플랫폼 게임,No,13440000,2023,Mario
Splatoon 2,3인칭 슈팅 게임,No,13600000,2017,Splatoon
Monster Hunter Rise,액션 RPG,No,14000000,2021,Monster Hunter
Biohazard RE2,액션 어드벤처,No,14000000,2019,Biohazard
Luigi's Mansion 3,액션 어드벤처,No,14250000,2019,Luigi's Mansion
Brain Training,퍼즐 게임,No,14880000,2005,Brain Training
Red Dead Redemption,액션 어드벤처,Yes,15000000,2010,Red Dead Redemption
Pokemon Legends: Arceus,액션 RPG,No,15000000,2022,Pokémon
Battlefield 1,1인칭 슈팅 게임,No,15000000,2016,Battlefield
Baldur's Gate 3,RPG,Yes,15000000,2023,Baldur's Gate
Pokemon Brilliant Diamond & Shining Pearl,RPG,No,15060000,2021,Pokémon
Pokemon Let's Go! Pikachu & Eevee,RPG,No,15070000,2018,Pokémon
Ring Fit Adventure,피트니스 게임,No,15380000,2019,Ring Fit
Pokemon Black & White,RPG,No,15640000,2010,Pokémon
Call of Duty: World at War,1인칭 슈팅 게임,No,15700000,2008,Call of Duty
Call of Duty 4: Modern Warfare,1인칭 슈팅 게임,Yes,15700000,2007,Call of Duty
Need for Speed: Most Wanted (2012),레이싱 게임,No,16000000,2012,Need for Speed
The Sims,시뮬레이션,No,16000000,2000,The Sims
Borderlands 3,1인칭 슈팅 게임,No,16000000,2019,Borderlands
Uncharted 4,액션 어드벤처,Yes,16000000,2016,Uncharted
Pokemon Ruby & Sapphire,RPG,No,16220000,2003,Pokémon
Pokemon Sun & Moon,RPG,No,16300000,2016,Pokémon
Pokemon X & Y,RPG,No,16310000,2013,Pokémon
Sonic & Sega All-Stars Racing,레이싱 게임,No,16700000,2010,Sonic
GTA III,액션 어드벤처,No,17500000,2001,GTA
Pokemon Diamond & Pearl,RPG,No,17670000,2006,Pokémon
Super Mario Land,플랫폼 게임,No,18140000,1989,Mario
Mario Kart 7,레이싱 게임,No,18980000,2011,Mario Kart
Call of Duty: Ghosts,1인칭 슈팅 게임,No,19000000,2013,Call of Duty
Mario Kart DS,레이싱 게임,No,23600000,2005,Mario Kart
Super Mario Bros 3,플랫폼 게임,No,23710000,1988,Mario
Nintendogs,시뮬레이션,No,23960000,2005,Nintendogs
Kinect Adventures,어드벤처 게임,No,24000000,2010,Kinect
FIFA 18,스포츠 게임,No,24000000,2017,FIFA
Hogwarts Legacy,액션 RPG,No,24000000,2023,Hogwarts Legacy
Call of Duty: Black Ops II,1인칭 슈팅 게임,No,24200000,2012,Call of Duty
Pokemon Scarlet & Violet,RPG,No,24920000,2022,Pokémon
GTA IV,액션 어드벤처,No,25000000,2008,GTA
Monster Hunter World,액션 RPG,No,25000000,2018,Monster Hunter
Far Cry 5,1인칭 슈팅 게임,No,25000000,2018,Far Cry
Cyberpunk 2077,액션 RPG,Yes,25000000,2020,Cyberpunk
Elden Ring,액션 RPG,Yes,25000000,2022,Elden Ring
Call of Duty: Black Ops,1인칭 슈팅 게임,Yes,26200000,2010,Call of Duty
Pokemon Sword & Shield,RPG,No,26270000,2019,Pokémon
New Super Mario Bros U Deluxe,플랫폼 게임,No,26340000,2019,Mario
Call of Duty: Modern Warfare 3,1인칭 슈팅 게임,No,26500000,2011,Call of Duty
Super Mario World,플랫폼 게임,No,26662500,1990,Mario
Borderlands 2,1인칭 슈팅 게임,No,27000000,2012,Borderlands
GTA: San Andreas,액션 어드벤처,No,27500000,2004,GTA
Super Mario Odyssey,플랫폼 게임,Yes,27960000,2017,Mario
Wii Fit / Plus,피트니스 게임,No,43800000,2007,Wii Fit
Duck Hunt,슈팅 게임,No,28300000,1984,Duck Hunt
Elder Scrolls V: Skyrim,액션 RPG,Yes,30000000,2011,Elder Scrolls
ARK: Survival Evolved,액션 어드벤처,No,33300000,2017,ARK
Zelda: Breath of the Wild,액션 어드벤처,Yes,33550000,2017,Zelda
Super Smash Bros Ultimate,격투 게임,No,34220000,2018,Super Smash Bros
Mario Kart Wii,레이싱 게임,No,37380000,2008,Mario Kart
Tetris (EA),퍼즐 게임,No,100000000,2006,Tetris
GTA V,액션 어드벤처,No,200000000,2013,GTA
Minecraft,샌드박스,No,300000000,2011,Minecraft
